source_layer,source_layer_id,input_count,empty_geometry_count,invalid_geometry_count,repaired_geometry_count,duplicate_geometry_count,output_count,clean_layer,metric_crs
Crosswalks,157,515,0,0,0,0,515,crosswalks_clean,EPSG:32611
Intersections,300,364,0,0,0,0,364,intersections_clean,EPSG:32611
Access Ramps,318,1161,0,0,0,0,1161,ramps_clean,EPSG:32611
Alley Sidewalk,319,67,0,0,0,0,67,alley_sidewalks_clean,EPSG:32611
Curbs,320,15950,0,0,0,0,15969,curbs_clean,EPSG:32611
Driveways,321,3632,0,0,0,0,3632,driveways_clean,EPSG:32611
Parkways,322,6376,0,0,0,0,6376,parkways_clean,EPSG:32611
Sidewalks,323,11294,0,0,0,0,11294,sidewalk_polygons_clean,EPSG:32611
Sidewalk Area Boundary,325,2,0,0,0,0,2,sidewalk_area_boundary_clean,EPSG:32611
Streets Centerline,337,736,0,0,0,0,742,streets_centerline_clean,EPSG:32611
