source_layer,layer_id,raw_feature_count,clean_layer,errors,clean_feature_count,invalid_geometry_count,repaired_geometry_count,duplicate_geometry_count,empty_geometry_count
Crosswalks,157,639,crosswalks_clean,,515,0,0,0,0
Intersections,300,508,intersections_clean,,364,0,0,0,0
Access Ramps,318,1487,ramps_clean,,1161,0,0,0,0
Alley Sidewalk,319,74,alley_sidewalks_clean,,67,0,0,0,0
Curbs,320,20444,curbs_clean,,15969,0,0,0,0
Driveways,321,4881,driveways_clean,,3632,0,0,0,0
Parkways,322,8521,parkways_clean,,6376,0,0,0,0
Sidewalks,323,14097,sidewalk_polygons_clean,,11294,0,0,0,0
Sidewalk Area Boundary,325,2,sidewalk_area_boundary_clean,,2,0,0,0,0
Streets Centerline,337,1011,streets_centerline_clean,,742,0,0,0,0
