source_object_id,ai_label,accessibility_score,label_reason,issue_missing_ramp,issue_driveway_conflict,issue_disconnected,issue_unknown_type,issue_geometry_repaired,issue_needs_review
690589,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
688830,missing_ramp,65,near intersection/crosswalk without nearby confirmed ramp,True,False,False,False,False,False
690590,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690591,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690592,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690593,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690594,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690604,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690595,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
690614,obstacle_or_driveway_conflict,80,driveway overlap or 1m driveway buffer conflict,False,True,False,False,False,False
